	compressor_time	entropy_time	entropy	compress
354	29366	5340	62171	3.2379446640316205
355	14036	5490	14364	19.883495145631066
356	24938	5490	48500	4.556173526140156
357	33975	4810	62460	2.754539340954943
358	27122	4909	58256	3.7372262773722627
359	4769	7024	4858	83.59183673469387
360	165536	11852	50075	4.019627085377821
361	165557	11472	43777	4.316122233930453
362	35107	16812	15750	10.750656167979002
363	46599	15119	64629	3.3851239669421487
364	23996	5882	43977	4.418554476806904
365	19978	7144	17187	8.0
366	27773	5290	50686	3.9498553519768564
367	25789	5621	47577	4.612612612612613
368	24868	6232	36877	4.638731596828992
369	35528	4138	61992	2.778833107191316
370	30839	5110	57548	3.3795379537953796
371	43333	5060	51283	2.2272974442631863
372	30628	5461	49963	3.416180150125104
373	34676	6642	41143	5.326397919375813
374	37291	6563	50039	3.9844357976653697
375	21782	5501	47464	6.059171597633136
376	28735	5450	50746	3.574171029668412
377	26982	4509	78662	4.141557128412538
378	29627	5821	46188	3.5617391304347827
379	20950	6393	30674	6.884033613445379
380	27022	5430	51392	3.6376554174067497
381	30097	5591	42132	3.8898385565052234
382	28985	5511	48924	3.4333612740989103
383	27022	4969	61639	3.69009009009009
384	19217	6633	29929	8.0
385	53973	5521	49379	3.558644656820156
386	40748	6453	39905	3.230283911671924
387	40187	5210	53598	3.3327908868999185
388	28535	6913	32939	4.437703141928494
389	29446	5761	49222	4.096
390	18937	7023	31926	6.511923688394277
391	23766	6472	31081	6.671009771986971
392	5280	7114	6001	39.76699029126213
393	14357	7003	14321	12.603076923076923
394	28134	7314	17171	6.64935064935065
395	16481	7434	14488	9.752380952380953
396	51910	5550	37737	10.291457286432161
397	51940	13125	37470	5.001221001221001
398	58051	13015	39572	4.404301075268817
399	12544	7494	14332	19.692307692307693
400	44194	4419	49589	3.7543538038496793
401	24266	6122	38861	4.7026406429391505
402	38473	5661	43630	3.583552055993001
403	23615	11843	43123	4.602247191011236
404	25789	6202	41317	3.631205673758865
405	29307	5731	44801	3.7338195077484047
406	15389	7114	16802	11.160762942779291
407	18224	6873	26374	8.0
408	25329	4909	48909	5.178255372945639
409	34636	5520	50552	2.907026259758694
410	21160	7124	18228	6.320987654320987
411	14358	5661	13948	20.177339901477833
412	55136	5270	55149	2.7288474350433045
413	12353	5541	9366	21.333333333333332
414	26511	6031	45136	3.6344276841171252
415	27924	5370	50761	4.104208416833667
416	19207	6663	25323	6.420062695924765
417	64032	5350	48759	3.1507692307692308
418	25709	5922	37976	3.831618334892423
419	29356	5701	46471	3.5432525951557095
420	23034	6332	38137	5.12
421	27132	5441	48476	4.380748663101604
422	26951	5441	46051	4.7627906976744185
423	17474	6392	29460	7.670411985018727
424	55987	4378	84238	1.9384761003312825
425	26100	5931	45119	3.716878402903811
426	22283	6903	26131	5.818181818181818
427	53472	5290	36930	3.45362563237774
428	32673	6292	41842	3.640888888888889
429	31801	5631	51733	3.258552108194113
430	5120	6813	5588	60.23529411764706
431	23976	6473	38362	5.446808510638298
432	19969	5510	33193	5.557666214382632
433	28695	6072	40923	4.059464816650149
434	26260	5380	58037	3.3327908868999185
435	25418	6251	33035	9.525581395348837
436	22412	6333	38553	4.785046728971962
437	22413	7173	9324	11.040431266846362
438	35739	6332	40715	3.813780260707635
439	23715	6692	31840	5.178255372945639
440	28144	6192	40009	3.6604110813226094
441	6543	7104	6249	25.761006289308177
442	59864	5310	65589	2.797814207650273
443	57710	5751	43383	4.7297921478060045
444	213859	5741	46212	4.2845188284518825
445	220221	5119	70396	2.449760765550239
446	4649	12844	7155	38.64150943396226
447	27111	11652	52762	4.893667861409797
448	28514	5771	46612	3.618374558303887
449	19477	6753	25862	6.291858678955453
450	25369	6092	45242	4.183861082737487
451	28735	6262	33233	4.149949341438703
452	32673	5951	42804	3.103030303030303
453	36139	5099	42235	2.8987968860580327
454	29407	5941	40797	3.716878402903811
455	24257	6122	40160	4.320675105485232
456	26321	5670	45479	4.413793103448276
457	21081	6803	28839	6.350387596899225
458	57480	5641	45474	4.481400437636761
